tweets,likes,time,source,retweets,tweet_length,zitat
"Auf geht’s, Pause war gestern! 🦾⚽️

#BMGamTegernsee https://t.co/2A0sFf6OZZ",291,2022-07-07 08:34:45+00:00,Twitter for iPhone,12,75,0
"ℹ Ramy Bensebaini konnte die Reise nach Rottach-Egern nicht antreten. Der Algerier wurde positiv auf das Corona-Virus getestet, hat sich danach in Quarantäne begeben und befindet sich in ärztlicher Betreuung.

Gute Besserung, @bensebainiRams! 💚

#BMGamTegernsee https://t.co/d1TlCstZql",424,2022-07-07 08:23:18+00:00,Twitter Web App,7,285,0
"ℹ Die Sonderausstellung „Berlin, Berlin, wir waren in Berlin“ zum DFB-Pokalsieg 1995 in der #FohlenWelt endet am kommenden Sonntag.
https://t.co/1UwPGFf27K",33,2022-07-07 05:51:00+00:00,Twitter Web App,2,155,0
"Alles Gute zum 5️⃣4️⃣. Geburtstag, Michael Klinkert! 🥳

👕 313 Spiele
🏆 DFB-Pokal 1995 https://t.co/eWmVB6r8ll",213,2022-07-07 05:00:01+00:00,Twitter Web App,7,109,0
"Der Countdown läuft.. ⏳😍

Bis zum 7. Juli Mitglied werden und schon am 9. Juli um 10:00 Uhr Tickets im Mitglieder-Verkauf sichern.

🎫 Mehr unter https://t.co/6bf1dRne7Q https://t.co/SaGtq0t65K",78,2022-07-06 17:30:01+00:00,Twitter Media Studio,3,192,0
"Mach dich Borussia! ⚫⚪🟢
↪ https://t.co/0LwsjVMzRj

Alles zum Vorverkauf ➡️ https://t.co/6bf1dRne7Q https://t.co/6O4Yoq9lmK",79,2022-07-06 16:15:00+00:00,Twitter Web App,3,122,0
"Trainingsfreier Nachmittag 🔋🔌

#BMGamTegernsee https://t.co/Mp3G7MgAoV",252,2022-07-06 15:15:00+00:00,Twitter Web App,5,70,0
"Tschuldigung, wo geht's zur #TourDeFrance2022? 🚴‍♀️🤔

#BMGamTegernsee https://t.co/aFfq6ndBvn",200,2022-07-06 13:30:01+00:00,Twitter Web App,4,93,0
"Im Laufe des Tages stoßen weitere Nationalspieler zum Team. Während der Rest der Mannschaft einen freien Nachmittag verbringt, steht für die Neuankömmlinge die Leistungsdiagnostik auf dem Programm. 💪

#BMGamTegernsee https://t.co/2wJXdHrSJ5",234,2022-07-06 12:30:57+00:00,Twitter Web App,4,240,0
"Grüezi! 🇨🇭👋

#BMGamTegernsee https://t.co/RjIuBO4USz",433,2022-07-06 12:30:55+00:00,Twitter Web App,4,52,0
"Die Vormittagseinheit läuft! Am Nachmittag bekommen die Jungs heute frei. ☝️⏸

#BMGamTegernsee https://t.co/GrDG7tp92R",173,2022-07-06 09:04:47+00:00,Twitter Web App,6,118,0
"7️⃣5️⃣ Herzlichen Glückwunsch, Zenon Szordykowski! 🎉💚
Der Masseur ist schon seit 31 (!) Jahren für Borussia tätig. ⤵",313,2022-07-06 09:00:25+00:00,Twitter for Advertisers,6,116,0
"Er kann es noch! 🧙‍♂️🤩

Letzte Woche feierte @RaffaeldAraujo sein Debüt in der ""Weisweiler Elf"". Seht selbst!

#FohlenFamilie https://t.co/pXLYCoA5BQ",371,2022-07-06 08:13:25+00:00,Twitter Web App,13,149,0
"Herzlichen Glückwunsch zum 7️⃣0️⃣. Geburtstag, Frank Schäffer! 🥳💚

🥇 Deutscher Meister 1975, 1976 und 1977
🏆 UEFA-Cup 1975 und 1979 https://t.co/Wy8U5uQMnh",206,2022-07-06 05:00:01+00:00,Twitter Web App,8,155,0
"Wie war der Urlaub, Nico? 😄 https://t.co/PgRnmB7exY",238,2022-07-05 19:52:57+00:00,Twitter for iPhone,2,51,0
"Willkommen zurück, Nico! 😍🍄

#DieFohlen #BMGamTegernsee https://t.co/Q1kVyBezHv",582,2022-07-05 19:45:36+00:00,Twitter for iPhone,9,79,0
Letzte Chance! ☝ https://t.co/9nOl8JRNRi,68,2022-07-05 19:15:00+00:00,Twitter Web App,5,40,0
"▫ Mitglieder-VVK für alle Heimspiele am Sa, 9. Juli, 10:00 Uhr
▫ Freier VVK für Kategorie C und D am Mo, 18. Juli, 10:00 Uhr (A und B bleiben vorerst im Mitglieder-VVK)
 
ℹ Für Spiele in A und B können Mitglieder bis zu 4 Tickets erwerben. Für C und D gibt es keine Begrenzung. https://t.co/nJ4t55mWkF",36,2022-07-05 19:10:30+00:00,Twitter Web App,2,301,0
"Ticket-Timeline: Sind eure Wecker schon gestellt? ⏰🗓

➡️ https://t.co/4xa1hvd2cX https://t.co/zhCnsPODd4",100,2022-07-05 18:15:00+00:00,Twitter Web App,5,104,1
"Seit gut zwei Wochen ist Oscar Fraulo ein Borusse. Heute stellte er sich den Fragen der Journalisten. 🗯

#BMGamTegernsee",155,2022-07-05 17:45:00+00:00,Twitter for Advertisers,4,120,0
"Nächster Vollgas-Tag im Trainingslager! 💪

#BMGamTegernsee https://t.co/WvD6bA8rhP",193,2022-07-05 17:15:00+00:00,Twitter Media Studio,11,82,0
Bereit für die zweite Einheit aufm Platz? ⚽️🤩 https://t.co/TdixgfcAyF,139,2022-07-05 14:59:22+00:00,Twitter for iPhone,3,69,0
"""Wat wollen Se jetzt?!"" 🧊

#BMGamTegernsee #Eistonne https://t.co/4kXvtAN76a",225,2022-07-05 14:42:28+00:00,Twitter Web App,3,76,0
"Gute Fahrt, Jungs! 🚵

#BMGamTegernsee https://t.co/GjHk7O4Si7",170,2022-07-05 14:31:00+00:00,Twitter Web App,3,61,0
Daniel Farke und Fitnesscoach @ChrisDomogalla kennen sich bereits seit ihrer gemeinsamen Station in Dortmund. https://t.co/UcRWi0gguw,61,2022-07-05 13:59:43+00:00,Twitter Web App,2,133,0
Athletiktrainer Roman Steinweg brachte zuletzt die Profis von Viktoria Berlin ins Schwitzen! 🥵 https://t.co/BUJgnJnB0O,66,2022-07-05 13:59:41+00:00,Twitter Web App,2,118,0
Christopher John wechselte 2018 aus der Paderborner U21 in den Betreuerstab von Daniel Farke. https://t.co/VvokY5tP9Y,43,2022-07-05 13:59:39+00:00,Twitter Web App,1,117,0
☝ Edmund Riemer sitzt schon seit 2017 neben Daniel Farke auf der Trainerbank. https://t.co/yzjGHpvlpp,44,2022-07-05 13:59:38+00:00,Twitter Web App,1,101,0
"Vier neue Personen gehören seit dieser Saison zum Funktionsteam: Die Co-Trainer Edmund Riemer und Christopher John (außen) sowie die Athletiktrainer Roman Steinweg und @ChrisDomogalla (innen).

Herzlich willkommen in der #FohlenFamilie! 💚

➡ https://t.co/wiaGI2dPqB https://t.co/iI2ZX3IuuL",251,2022-07-05 13:59:36+00:00,Twitter Web App,5,289,1
"🗞️ Alles Wichtige vom heutigen Training ⤵️
#BMGamTegernsee",99,2022-07-05 13:38:13+00:00,Twitter for Advertisers,3,58,0
"Lächeln nicht vergessen! ☝😅

#BMGamTegernsee @MarcusThuram https://t.co/PAL6htW7jz",275,2022-07-05 13:30:00+00:00,Twitter Web App,3,82,0
"Schmeckt‘s, @yvandro7? 🥤 https://t.co/fT9I0gooo2",432,2022-07-05 13:18:31+00:00,Twitter for iPhone,3,48,0
@markkusam23 @fab_otte Also dann.. 😅 https://t.co/YQNKnxkoE9,4,2022-07-05 13:18:00+00:00,Twitter for iPhone,0,60,0
Aber sicher doch! 🫡 https://t.co/AEsg0FC52R https://t.co/EdV7A2d7vQ,160,2022-07-05 13:06:52+00:00,Twitter for iPhone,4,67,0
"Diese Kulisse einfach.. 😍🏔

#BMGamTegernsee https://t.co/bqa0Hg3HOt",209,2022-07-05 12:50:00+00:00,Twitter Web App,4,67,0
